name,specialization,hospital,phone_number,location,consultation_fee,wait_time,city,category
Asst. Prof. Dr. Sajida Imran,Gynecologist,"Burhani Hospital, New Chali, Karachi",,Karachi,"Rs. 2,000",Available from Mar 03,Karachi,Gynecologist
Dr. Rahima Jilani,"Obstetrician, Gynecologist","Dr. Ejaz Memorial Clinic, North Nazimabad, Karachi",,Karachi,Rs. 400,Available Today,Karachi,Gynecologist
Dr. Rahima Jilani,"Obstetrician, Gynecologist","FM General Hospital / Maternity Home, North Nazimabad, Karachi",,Karachi,Rs. 700,Available from Mar 02,Karachi,Gynecologist
Dr. Kanwal Zehra Zaidi,Gynecologist,"Atia General Hospital, Malir, Karachi",,Karachi,"Rs. 1,000",Available Tomorrow,Karachi,Gynecologist
Dr. Kanwal Zehra Zaidi,Gynecologist,"Lady Rafat Medical Centre, Model Colony, Karachi",,Karachi,"Rs. 1,000",Available from Mar 02,Karachi,Gynecologist
Dr. Kanwal Zehra Zaidi,Gynecologist,"Altamash General Hospital, Clifton, Karachi",,Karachi,"Rs. 1,000",Available from Mar 03,Karachi,Gynecologist
Dr. Eruj Saleem,Gynecologist,"Quick Booking, Zero Waiting",,Karachi,Rs. 500,Available Today,Karachi,Gynecologist
Dr. Eruj Saleem,Gynecologist,"Quick Booking, Zero Waiting",,Karachi,"Rs. 1,000",Available from Mar 02,Karachi,Gynecologist
Assoc. Prof. Dr. Shama Chaudhry,Gynecologist,"Ziauddin Hospital, North Nazimabad, Karachi",,Karachi,"Rs. 2,000",Available Tomorrow,Karachi,Gynecologist
Dr. Nazish Ali,Gynecologist,"Shamsi Hospital, Malir, Karachi",,Karachi,"Rs. 1,000",Available Today,Karachi,Gynecologist
Dr. Nazish Ali,Gynecologist,"Little steps iVF and genetic centre, Shaheed e Millat Road, Karachi",,Karachi,"Rs. 1,000",Available from Mar 02,Karachi,Gynecologist
Dr. Nazish Ali,Gynecologist,"Quick Booking, Zero Waiting",,Karachi,"Rs. 3,000",Available from Mar 03,Karachi,Gynecologist
Prof. Dr. Saher Fatima,Gynecologist,"Altamash General Hospital, Clifton, Karachi",,Karachi,"Rs. 2,500",Available Today,Karachi,Gynecologist
Dr. Nasreen Rashid,Gynecologist,"Mowloo Juma Hospital, Saddar, Karachi",,Karachi,"Rs. 2,000",Available from Mar 02,Karachi,Gynecologist
Dr. Rabail Qureshi,Gynecologist,"Doctor Plaza, Do Talwar, Karachi",,Karachi,"Rs. 2,500",Available Today,Karachi,Gynecologist
Dr. Omer Aziz Mirza,Cardiologist,"Bilal Hospital, Satellite Town, Rawalpindi",N/A,Rawalpindi,"Rs. 1,500",Available from Mar 03,Islamabad,Cardiologist
Dr. Nayyar Arif,"Cardiologist, Interventional Cardiologist",N/A,N/A,Islamabad,"Rs. 1,000",Available Today,Islamabad,Cardiologist
Dr. Akhtar Ali,Cardiologist,"Advanced International Hospital, G-8 Markaz, Islamabad",N/A,Islamabad,"Rs. 3,000",Available from Mar 02,Islamabad,Cardiologist
Prof. Dr. Anjum Ilahi,Cardiologist,"Saeed International Hospital, G-8 Markaz, Islamabad",N/A,Islamabad,"Rs. 3,000",Available from Mar 02,Islamabad,Cardiologist
